id,balance,sex,education,marriage,age,default
1,20000,2,2,1,24,2
2,120000,2,2,2,26,2
3,90000,2,2,2,34,1
4,50000,2,2,1,37,1
5,50000,1,2,1,57,1
6,50000,1,1,2,37,1
7,500000,1,1,2,29,1
8,100000,2,2,2,23,1
9,140000,2,3,1,28,1
10,20000,1,3,2,35,1
11,200000,2,3,2,34,1
12,260000,2,1,2,51,1
13,630000,2,2,2,41,1
14,70000,1,2,2,30,2
15,250000,1,1,2,29,1
16,50000,2,3,3,23,1
17,20000,1,1,2,24,2
18,320000,1,1,1,49,1
19,360000,2,1,1,49,1
20,180000,2,1,2,29,1
21,130000,2,3,2,39,1
22,120000,2,2,1,39,2
23,70000,2,2,2,26,2
24,450000,2,1,1,40,2
25,90000,1,1,2,23,1
26,50000,1,3,2,23,1
27,60000,1,1,2,27,2
28,50000,2,3,2,30,1
29,50000,2,3,1,47,1
30,50000,1,1,2,26,1
31,230000,2,1,2,27,1
32,50000,1,2,2,33,2
33,100000,1,1,2,32,1
34,500000,2,2,1,54,1
35,500000,1,1,1,58,1
36,160000,1,1,2,30,1
37,280000,1,2,1,40,1
38,60000,2,2,2,22,1
39,50000,1,1,2,25,2
40,280000,1,1,2,31,1
41,360000,1,1,2,33,1
42,70000,2,1,2,25,1
43,10000,1,2,2,22,1
44,140000,2,2,1,37,1
45,40000,2,1,2,30,1
46,210000,1,1,2,29,2
47,20000,2,1,2,22,2
48,150000,2,5,2,46,2
49,380000,1,2,2,32,1
50,20000,1,1,2,24,1
51,70000,1,3,2,42,2
52,100000,2,3,3,43,1
53,310000,2,2,1,49,1
54,180000,2,1,2,25,1
55,150000,2,1,2,29,1
56,500000,2,1,1,45,1
57,180000,2,3,1,34,1
58,180000,2,2,1,34,1
59,200000,2,1,2,34,1
60,400000,2,2,1,29,1
61,500000,2,3,1,28,2
62,70000,1,2,1,39,1
63,50000,1,1,2,29,2
64,50000,2,2,1,46,2
65,130000,2,2,1,51,1
66,200000,1,1,1,57,2
67,10000,1,2,1,56,2
68,210000,2,1,2,30,1
69,130000,2,3,2,29,1
70,20000,1,5,2,22,1
71,80000,1,1,2,31,1
72,320000,1,2,2,29,2
73,200000,2,2,1,32,1
74,290000,2,1,2,37,1
75,340000,1,1,2,32,1
76,20000,1,2,2,24,1
77,50000,1,3,2,25,1
78,300000,2,1,1,45,1
79,30000,2,2,2,22,2
80,240000,2,2,2,44,2
81,470000,2,3,3,33,1
82,360000,2,1,2,26,1
83,60000,1,3,2,30,2
84,400000,2,2,1,44,1
85,50000,2,3,2,49,1
86,160000,1,2,2,33,1
87,360000,2,1,1,45,2
88,160000,2,2,2,32,1
89,130000,2,1,1,35,1
90,20000,1,3,2,44,1
91,200000,1,1,1,53,2
92,280000,2,1,2,39,1
93,100000,2,1,2,27,1
94,160000,2,2,1,37,1
95,60000,2,2,2,23,1
96,90000,1,2,2,35,1
97,360000,1,1,1,43,1
98,150000,1,1,2,27,1
